Acceleration,Sprint Speed,Agility,Balance,Jumping,Stamina,Strength,Position,Preferred foot,Height,Weight,Alternative positions,Age
97,97,93,82,88,88,77,ST,Right,"182cm / 6'0""",75kg / 165lb,LW,25
65,66,66,67,83,91,83,CDM,Right,"191cm / 6'3""",82kg / 181lb,CM,28
80,94,77,69,92,76,93,ST,Left,"195cm / 6'5""",94kg / 207lb,,24
81,80,82,79,84,93,77,CAM,Right,"186cm / 6'1""",75kg / 165lb,CM,21
95,95,94,84,74,84,65,LW,Right,"176cm / 5'9""",73kg / 161lb,"ST, LM",24
67,67,75,78,71,88,75,CM,Right,"181cm / 5'11""",75kg / 165lb,CAM,33
64,66,66,73,87,75,86,ST,Right,"188cm / 6'2""",86kg / 190lb,,31
72,69,85,83,66,88,56,CM,Left,"178cm / 5'10""",68kg / 150lb,CAM,25
50,55,57,38,73,41,75,GK,Right,"196cm / 6'5""",90kg / 198lb,,25
60,49,40,37,82,32,78,GK,Right,"193cm / 6'4""",91kg / 201lb,,31
42,52,63,45,68,38,70,GK,Left,"200cm / 6'7""",96kg / 212lb,,32
84,80,89,92,93,83,85,ST,Right,"174cm / 5'9""",72kg / 159lb,,27
66,87,54,50,89,72,93,CB,Right,"193cm / 6'4""",92kg / 203lb,,33
45,50,39,43,72,35,78,GK,Right,"187cm / 6'2""",85kg / 187lb,,32
89,89,89,91,79,87,73,RW,Left,"175cm / 5'9""",72kg / 159lb,RM,32
89,83,92,92,66,83,53,RW,Left,"171cm / 5'7""",69kg / 152lb,"LW, CAM, RM",24
86,73,90,95,71,70,68,RW,Left,"169cm / 5'7""",67kg / 148lb,"ST, CAM, RM",37
81,80,89,84,85,86,69,ST,Left,"176cm / 5'9""",73kg / 161lb,,33
65,68,62,56,88,78,90,CB,Right,"187cm / 6'2""",82kg / 181lb,,27
76,75,77,83,92,76,89,ST,Right,"185cm / 6'1""",81kg / 179lb,,36
84,91,77,68,83,92,82,CM,Right,"182cm / 6'0""",78kg / 172lb,RM,26
64,63,60,48,79,44,78,GK,Left,"188cm / 6'2""",86kg / 190lb,,31
83,69,95,92,68,93,54,CM,Left,"173cm / 5'8""",64kg / 141lb,RW,30
42,53,64,48,72,42,78,GK,Right,"188cm / 6'2""",87kg / 192lb,,31
71,91,56,50,89,70,91,CB,Right,"190cm / 6'3""",86kg / 190lb,,31
81,81,87,87,64,87,59,CAM,Right,"177cm / 5'10""",71kg / 157lb,LM,21
38,52,37,29,71,30,81,GK,Right,"195cm / 6'5""",88kg / 194lb,,26
77,86,53,46,89,72,87,CB,Right,"193cm / 6'4""",85kg / 187lb,,23
85,92,78,67,94,81,86,ST,Right,"186cm / 6'1""",77kg / 170lb,,25
86,83,93,93,69,78,59,CAM,Right,"184cm / 6'0""",72kg / 159lb,"LM, CM",21
88,83,85,88,71,86,63,RW,Left,"178cm / 5'10""",65kg / 143lb,RM,23
84,76,88,90,77,74,67,CAM,Left,"177cm / 5'10""",75kg / 165lb,ST,30
95,95,83,81,95,92,88,LB,Left,"184cm / 6'0""",81kg / 179lb,LM,26
86,84,90,83,72,73,52,LW,Right,"175cm / 5'9""",68kg / 150lb,"CAM, LM",32
71,75,55,65,82,92,81,CDM,Right,"185cm / 6'1""",80kg / 176lb,CM,25
80,83,87,79,82,89,74,CM,Right,"181cm / 5'11""",74kg / 163lb,CDM,27
65,62,60,56,82,39,83,GK,Right,"191cm / 6'3""",89kg / 196lb,,29
72,68,78,76,70,95,61,CAM,Right,"179cm / 5'10""",69kg / 152lb,CM,30
86,88,81,74,82,88,69,ST,Right,"183cm / 6'0""",78kg / 172lb,LM,32
76,81,68,67,89,83,79,CB,Right,"183cm / 6'0""",75kg / 165lb,,30
72,78,64,61,89,81,83,CB,Left,"190cm / 6'3""",75kg / 165lb,,25
65,60,77,77,67,75,73,CM,Right,"180cm / 5'11""",80kg / 176lb,CDM,33
55,57,54,49,79,40,78,GK,Right,"195cm / 6'5""",88kg / 194lb,,32
85,78,91,92,79,93,74,CM,Right,"172cm / 5'8""",68kg / 150lb,CDM,27
48,54,55,58,68,45,68,GK,Right,"183cm / 6'0""",77kg / 170lb,,35
73,80,76,61,94,80,79,ST,Right,"187cm / 6'2""",85kg / 187lb,,39
61,76,51,37,86,71,86,CB,Left,"190cm / 6'3""",87kg / 192lb,,26
48,52,51,61,70,83,78,CDM,Left,"186cm / 6'1""",80kg / 176lb,CM,31
